Epoch,Train Loss,Valid Loss
1,0.8332550855656397,0.8288703072402213
2,0.8126771289172057,0.8031104816537764
3,0.7715991619961484,0.7632143430204855
4,0.7375527159359215,0.7331163445487618
5,0.6504635748978718,0.6472088379992379
6,0.5639864907545202,0.5644056666642427
7,0.5233444556026723,0.5231960465510687
8,0.5104825660637918,0.5028952197689149
9,0.48808890550194317,0.4854118262624575
10,0.47258026707131146,0.4770438293926418
11,0.4745988549864416,0.4710138206784096
12,0.46768519364838784,0.4613414842945834
13,0.45723991059926966,0.4535857037020226
14,0.4434029284645529,0.44681031567354995
15,0.4420597639875841,0.44152234660254586
16,0.4326894986588237,0.43837937003829414
17,0.4435107347049515,0.43858336978074575
18,0.44093917800068444,0.43426187000133926
19,0.42841071571033307,0.43165950818608206
20,0.4307874312244072,0.4294892107653949
21,0.42932263346691857,0.4278397994219429
22,0.42490566802891067,0.4253849293519225
23,0.4272539203142212,0.423388228389538
24,0.4254497552619261,0.4222180139169925
25,0.4262350027330194,0.42052284146969515
26,0.4227811710644758,0.4195882019897302
27,0.42054098586722644,0.418398284042875
28,0.4201958962171548,0.41796288763483364
29,0.41941825828956486,0.41671234074359137
30,0.4200124297175028,0.41577389432738227
31,0.41938536230049334,0.4148703075738417
32,0.41394810651825376,0.4141567836826046
33,0.42290420969464787,0.4135142219149404
34,0.4092882261144249,0.41291236634262735
35,0.41604452778723827,0.412317605689168
36,0.4082077250761144,0.4119410179555416
37,0.4106626791112563,0.4120271953029765
38,0.4079961161093728,0.4111532083609038
39,0.4110451656229356,0.4107227188328074
40,0.41263462092637193,0.4103951440192759
41,0.4159773298407096,0.410158126304547
42,0.40974356909524196,0.40990893030539155
43,0.41391080772587996,0.4096496579651203
44,0.40385293857449067,0.4094886407773528
45,0.40927710221712976,0.4091790854516957
46,0.41267697054209596,0.40914587904181743
47,0.407862755872799,0.4089241556616293
48,0.4090231515750753,0.40899464110326433
49,0.410732227006998,0.40893289741749567
50,0.4069103591891721,0.40880970413693124
